car_id,part,km_diff,days_diff,needs_change
5171,tire,52458,753,1
5167,spark_plugs,34432,353,1
5170,brake_fluid_r,26918,334,1
5168,spark_plugs,22325,207,0
5164,brake_fluid_p,24249,295,1
5162,brake_fluid_p,12517,235,0
5169,brake_fluid_p,14905,222,0
5163,brake_fluid_r,33525,477,1
5165,tire,55737,594,1
5165,fuel_filter,8127,168,0
5162,fuel_filter,18229,277,1
5164,timing_chain,46989,579,0
5166,tire,31205,520,0
5169,tire,44802,585,1
5162,wire_set,65547,739,1
5171,brake_pads,18386,223,0
5168,fuel_filter,12030,211,0
5165,brake_fluid_r,11509,228,0
5168,belts_kit,16953,359,0
5164,tire,22719,204,0
5162,timing_chain,36227,485,0
5163,brake_fluid_r,24158,310,1
5164,timing_chain,24585,425,0
5162,brake_pads,19452,279,0
5164,brake_fluid_p,20612,116,0
5171,brake_fluid_r,15187,172,0
5170,brake_fluid_r,26653,334,1
5166,air_filter,12849,154,1
5162,wire_set,45939,461,1
5163,belts_kit,23032,345,0
5170,air_filter,12925,151,1
5166,brake_fluid_p,25131,318,1
5167,air_filter,13355,137,1
5169,brake_fluid_r,23972,280,0
5169,brake_fluid_p,14141,181,0
5165,fuel_filter,21451,452,1
5167,tire,16912,233,0
5170,brake_fluid_r,22493,135,0
5164,brake_fluid_p,17503,109,0
5166,brake_fluid_p,20311,213,0
5166,timing_chain,53136,692,1
5164,brake_pads,31329,442,1
5163,spark_plugs,13937,156,0
5167,spark_plugs,16763,110,0
5163,brake_fluid_r,17993,185,0
5164,belts_kit,39557,542,1
5163,brake_fluid_r,20183,184,0
5165,tire,29056,179,0
5168,wire_set,36015,255,0
5166,brake_fluid_p,17815,237,0
5171,timing_chain,55040,677,1
5167,air_filter,5651,104,0
5165,brake_fluid_p,41867,422,1
5167,spark_plugs,27933,337,1
5169,tire,37404,459,1
5166,timing_chain,40230,320,0
5163,belts_kit,34075,488,1
5164,timing_chain,53985,685,1
5167,spark_plugs,26274,290,1
5163,battery,47498,691,1
5169,brake_fluid_p,24748,346,1
5170,belts_kit,21584,220,0
5168,wire_set,58491,756,1
5170,fuel_filter,27659,402,1
5165,timing_chain,38394,365,0
5165,tire,27483,303,0
5165,spark_plugs,24267,330,1
5163,battery,55555,969,1
5163,spark_plugs,30482,356,1
5169,timing_chain,68935,741,1
5171,belts_kit,38886,574,1
5169,timing_chain,67637,963,1
5168,belts_kit,17403,330,0
5167,tire,55561,531,1
5162,spark_plugs,19305,196,0
5162,timing_chain,31478,233,0
5165,air_filter,10353,89,0
5163,belts_kit,54359,698,1
5170,timing_chain,55964,659,1
5168,brake_fluid_r,12801,193,0
5162,air_filter,6479,114,0
5171,brake_fluid_r,26078,320,1
5166,brake_pads,22688,307,1
5171,spark_plugs,12405,146,0
5169,brake_fluid_p,17383,127,0
5162,brake_fluid_r,20129,235,0
5166,fuel_filter,22566,378,1
5171,spark_plugs,21134,129,0
5166,timing_chain,50371,635,1
5171,spark_plugs,10867,229,0
5168,belts_kit,46811,700,1
5169,spark_plugs,15333,115,0
5167,brake_fluid_p,10035,112,0
5164,belts_kit,36143,485,1
5164,air_filter,12178,155,1
5164,belts_kit,29020,304,0
5167,fuel_filter,8278,217,0
5171,brake_pads,16448,151,0
5167,brake_fluid_p,21150,115,0
5163,wire_set,61562,696,1
5170,brake_fluid_p,25719,282,1
5171,brake_pads,8035,161,0
5170,spark_plugs,19360,154,0
5163,timing_chain,18848,424,0
5163,tire,14436,351,0
5166,tire,31335,493,0
5168,brake_fluid_p,31291,388,1
5165,timing_chain,32231,370,0
5162,timing_chain,58525,752,1
5170,air_filter,14208,171,1
5166,battery,66313,758,1
5165,air_filter,6784,124,0
5167,air_filter,10808,122,0
5165,air_filter,11504,140,0
5164,air_filter,9967,75,0
5164,air_filter,6166,129,0
5169,battery,34850,444,0
5167,brake_fluid_p,14571,255,0
5167,timing_chain,30234,339,0
5164,belts_kit,14908,166,0
5166,battery,27947,415,0
5169,brake_fluid_r,29365,388,1
5165,air_filter,7461,134,0
5169,wire_set,62802,574,1
5165,brake_fluid_r,14733,156,0
5168,brake_fluid_r,34789,351,1
5164,timing_chain,78272,802,1
5170,brake_pads,24335,375,1
5165,battery,15004,355,0
5167,timing_chain,83248,973,1
5162,spark_plugs,27845,334,1
5166,air_filter,17284,233,1
5167,timing_chain,40603,222,0
5171,brake_pads,17970,143,0
5171,timing_chain,33183,431,0
5170,brake_fluid_p,29608,395,1
5166,spark_plugs,32181,427,1
5166,air_filter,13227,160,1
5166,battery,37051,547,0
5164,brake_fluid_p,30146,436,1
5164,brake_fluid_r,16176,139,0
5163,brake_fluid_r,41355,501,1
5165,spark_plugs,37342,373,1
5162,brake_pads,9875,225,0
5166,brake_pads,31220,505,1
5170,timing_chain,21142,254,0
5171,air_filter,10794,73,0
5169,spark_plugs,14987,201,0
5168,wire_set,54332,661,1
5167,tire,55733,658,1
5165,battery,24977,545,0
5166,tire,16764,198,0
5165,timing_chain,58649,933,1
5170,brake_fluid_p,38587,420,1
5169,brake_fluid_p,25256,297,1
5171,brake_pads,18077,222,0
5164,brake_pads,34774,507,1
5162,belts_kit,44791,706,1
5171,brake_fluid_r,26354,341,1
5164,air_filter,6063,126,0
5166,spark_plugs,23819,332,0
5169,belts_kit,14979,286,0
5167,battery,23288,449,0
5165,timing_chain,72552,930,1
5165,brake_fluid_r,32773,365,1
5162,tire,43580,613,1
5163,fuel_filter,17319,316,1
5164,air_filter,10054,100,0
5162,timing_chain,69234,878,1
5167,brake_fluid_r,22900,325,0
5167,battery,29410,219,0
5168,brake_fluid_p,17144,226,0
5168,spark_plugs,36474,396,1
5171,battery,30896,395,0
5169,spark_plugs,19698,203,0
5170,brake_pads,20962,318,1
5167,brake_pads,20161,304,1
5168,belts_kit,14502,347,0
5164,brake_fluid_p,22233,237,0
5166,battery,61908,789,1
5164,fuel_filter,22144,445,1
5164,battery,56558,894,1
5170,brake_fluid_r,28077,303,1
5164,air_filter,18406,201,1
5167,brake_fluid_r,16284,190,0
5170,battery,52499,705,1
5167,tire,39927,728,1
5171,wire_set,38782,454,0
5170,belts_kit,43621,561,1
5168,belts_kit,23057,337,0
5171,tire,18393,381,0
5169,wire_set,44876,430,1
5166,fuel_filter,24838,426,1
5166,brake_fluid_p,23234,329,0
5169,belts_kit,29949,331,0
5168,wire_set,45065,450,1
5167,battery,37101,229,0
5168,spark_plugs,15441,119,0
5162,brake_fluid_p,10066,172,0
5167,spark_plugs,20338,218,0
5167,brake_fluid_p,23715,317,0
5169,air_filter,5776,73,0
5169,tire,55441,646,1
5162,wire_set,19052,393,0
5162,brake_fluid_r,28420,319,1
5167,air_filter,13524,144,1
5163,spark_plugs,37882,371,1
5165,brake_fluid_p,25845,345,1
5165,wire_set,19737,202,0
5163,wire_set,20743,302,0
5164,battery,68363,817,1
5167,battery,46043,608,1
5165,battery,23038,544,0
5166,timing_chain,81724,823,1
5171,brake_fluid_r,14617,112,0
5168,brake_fluid_r,14066,251,0
5170,brake_fluid_p,11661,266,0
5169,spark_plugs,21752,132,0
5165,wire_set,61348,760,1
5166,spark_plugs,12563,261,0
5168,tire,48448,598,1
5163,belts_kit,20736,222,0
5171,wire_set,69622,586,1
5171,timing_chain,59330,841,1
5162,belts_kit,32972,515,1
5163,brake_pads,26225,426,1
5169,brake_fluid_r,14151,206,0
5164,brake_fluid_p,15693,222,0
5163,tire,46919,586,1
5170,brake_pads,10924,109,0
5167,tire,55120,614,1
5169,belts_kit,28423,408,0
5164,battery,42251,589,1
5164,timing_chain,69485,712,1
5163,battery,45634,680,1
5164,wire_set,68656,543,1
5165,spark_plugs,37274,391,1
5169,air_filter,19872,229,1
5166,belts_kit,41972,588,1
5171,fuel_filter,22195,464,1
5163,wire_set,34172,299,0
5166,spark_plugs,14991,264,0
5169,battery,63634,991,1
5165,brake_fluid_r,16484,155,0
5167,air_filter,19116,195,1
5168,spark_plugs,19939,162,0
5165,fuel_filter,20128,426,1
5166,brake_pads,18070,113,0
5169,air_filter,8907,126,0
5169,tire,22448,264,0
5165,fuel_filter,9726,123,0
5168,fuel_filter,21362,465,1
5166,spark_plugs,17667,229,0
5170,brake_fluid_p,39444,393,1
5168,brake_pads,25082,510,1
5171,tire,39328,622,1
5169,tire,44587,631,1
5166,battery,61760,901,1
5168,belts_kit,26990,389,0
5163,brake_fluid_p,24815,339,1
5166,brake_fluid_r,26894,285,1
5169,brake_fluid_r,35076,473,1
5169,timing_chain,55392,594,1
5171,spark_plugs,18275,201,0
5170,wire_set,23480,344,0
5170,battery,24163,507,0
5170,battery,46933,581,1
5163,brake_fluid_p,37092,379,1
5171,tire,18918,194,0
5162,timing_chain,32497,278,0
5165,brake_pads,11657,181,0
5165,wire_set,15408,302,0
5170,timing_chain,49863,573,1
5162,battery,68645,971,1
5168,timing_chain,46245,555,0
5170,belts_kit,28137,392,0
5171,fuel_filter,9713,147,0
5169,brake_fluid_r,14850,151,0
5166,wire_set,61148,591,1
5167,belts_kit,53400,575,1
5164,brake_pads,20932,324,1
5169,fuel_filter,12680,193,0
5165,fuel_filter,26340,382,1
5169,brake_fluid_p,30211,386,1
5164,brake_fluid_r,10226,157,0
5167,wire_set,38210,457,0
5166,belts_kit,30708,474,0
5169,battery,23907,537,0
5164,spark_plugs,20502,150,0
5162,spark_plugs,26331,337,1
5163,spark_plugs,33895,469,1
5163,air_filter,13557,149,1
5166,belts_kit,15497,403,0
5165,tire,49099,694,1
5169,spark_plugs,20613,255,0
5165,wire_set,35902,289,0
5168,belts_kit,50651,623,1
5169,timing_chain,40639,496,0
5163,brake_pads,10036,168,0
5167,wire_set,50405,594,1
5167,battery,18226,505,0
5169,belts_kit,22888,384,0
5169,brake_fluid_r,34535,496,1
5164,brake_fluid_p,11986,196,0
5163,timing_chain,19958,437,0
5162,wire_set,39020,486,0
5163,brake_fluid_r,37578,401,1
5166,brake_pads,21070,329,1
5171,timing_chain,56681,608,1
5165,timing_chain,52594,636,1
5171,brake_fluid_p,23271,342,0
5171,brake_pads,21304,306,1
5164,belts_kit,40307,559,1
5166,belts_kit,45107,616,1
5165,brake_fluid_r,11312,208,0
5162,tire,13195,297,0
5162,tire,25176,308,0
5162,brake_pads,15328,237,0
5169,spark_plugs,26962,341,1
5168,fuel_filter,6120,222,0
5170,wire_set,21721,309,0
5164,belts_kit,34383,470,1
5169,air_filter,12496,147,1
5169,air_filter,14927,192,1
5168,wire_set,27116,279,0
5165,tire,19759,257,0
5164,belts_kit,29009,304,0
5163,belts_kit,18501,278,0
5164,air_filter,13236,136,1
5164,fuel_filter,15521,322,0
5162,brake_pads,27151,458,1
5170,wire_set,20256,215,0
5170,brake_fluid_p,14760,224,0
5167,fuel_filter,22582,439,1
5170,spark_plugs,24561,308,1
5171,brake_fluid_r,24260,281,1
5166,brake_fluid_p,35001,369,1
5167,belts_kit,37135,458,1
5168,fuel_filter,19983,419,1
5166,tire,29887,299,0
5169,timing_chain,34961,476,0
5168,brake_fluid_r,39937,407,1
5168,battery,46990,668,1
5171,fuel_filter,8742,148,0
5162,tire,47549,553,1
5167,brake_pads,11046,260,0
5163,fuel_filter,7630,220,0
5164,brake_fluid_p,36265,421,1
5168,air_filter,10052,69,0
5166,spark_plugs,12754,172,0
5168,wire_set,23016,411,0
5163,brake_fluid_p,26062,304,1
5168,battery,16279,533,0
5167,battery,58770,742,1
5170,wire_set,55587,707,1
5167,tire,54870,710,1
5167,fuel_filter,7506,121,0
5171,brake_fluid_p,27981,320,1
5168,battery,25011,468,0
5163,belts_kit,41275,575,1
5169,brake_pads,20702,314,1
5168,timing_chain,74099,826,1
5169,air_filter,13414,141,1
5171,brake_fluid_p,15485,174,0
5165,battery,32107,406,0
5164,brake_pads,34592,355,1
5168,air_filter,13685,154,1
5171,wire_set,61410,646,1
5162,brake_pads,13592,159,0
5168,brake_fluid_p,18054,159,0
5163,timing_chain,56295,621,1
5170,battery,53939,915,1
5162,wire_set,36276,167,0
5168,brake_pads,12058,170,0
5170,tire,20554,334,0
5164,air_filter,13032,163,1
5168,spark_plugs,30335,362,1
5170,brake_fluid_r,38239,470,1
5162,brake_fluid_r,11825,171,0
5162,fuel_filter,9109,112,0
5166,brake_fluid_p,17988,262,0
5163,timing_chain,69112,821,1
5170,fuel_filter,25836,404,1
5171,fuel_filter,8241,134,0
5166,belts_kit,22312,245,0
5165,brake_fluid_r,19623,227,0
5168,battery,58562,738,1
5168,brake_fluid_p,16424,226,0
5163,timing_chain,58750,837,1
5163,brake_fluid_r,16388,150,0
5171,wire_set,42751,505,1
5164,brake_pads,9117,135,0
5166,fuel_filter,27978,475,1
5169,brake_fluid_p,28287,319,1
5169,brake_fluid_p,37719,449,1
5168,spark_plugs,25115,304,1
5170,air_filter,14034,146,1
5171,timing_chain,47582,638,0
5169,tire,22561,311,0
5164,brake_fluid_p,12287,233,0
5171,timing_chain,26800,383,0
5168,brake_pads,31860,479,1
5162,fuel_filter,11010,183,0
5171,brake_fluid_r,33692,408,1
5166,timing_chain,19834,329,0
5163,fuel_filter,10069,118,0
5165,battery,19485,319,0
5168,timing_chain,35494,331,0
5163,wire_set,58449,538,1
5167,fuel_filter,21449,480,1
5168,brake_pads,25054,438,1
5165,air_filter,10708,59,0
5163,brake_fluid_p,20856,213,0
5164,battery,45132,665,1
5164,tire,49797,734,1
5167,spark_plugs,34399,503,1
5171,brake_fluid_r,16214,159,0
5171,wire_set,45530,422,1
5170,timing_chain,22333,501,0
5165,brake_pads,8884,201,0
5170,wire_set,65404,724,1
5168,brake_fluid_r,13642,147,0
5163,battery,48242,849,1
5163,spark_plugs,14168,225,0
5166,wire_set,34083,266,0
5166,battery,63408,819,1
5168,belts_kit,53961,761,1
5164,brake_fluid_r,17723,247,0
5170,air_filter,12878,141,1
5170,timing_chain,38645,380,0
5169,wire_set,63732,646,1
5166,wire_set,35513,339,0
5165,tire,37276,516,1
5170,tire,54852,649,1
5165,brake_pads,22374,309,1
5164,timing_chain,27468,242,0
5169,air_filter,7247,119,0
5166,tire,27012,237,0
5163,wire_set,17283,272,0
5171,wire_set,41378,433,1
5164,brake_pads,18032,174,0
5162,belts_kit,38862,691,1
5164,wire_set,60264,548,1
5163,fuel_filter,9661,254,0
5166,spark_plugs,23274,341,0
5169,wire_set,20646,312,0
5171,belts_kit,49556,764,1
5163,brake_fluid_r,24250,343,1
5165,brake_fluid_p,24002,328,1
5163,battery,22291,475,0
5169,brake_pads,25619,484,1
5171,wire_set,43742,500,1
5168,wire_set,44146,509,1
5163,brake_fluid_r,11714,123,0
5169,belts_kit,19601,324,0
5163,wire_set,22681,325,0
5170,brake_fluid_p,19240,131,0
5170,spark_plugs,17404,176,0
5171,belts_kit,26122,393,0
5163,air_filter,12298,142,1
5167,fuel_filter,7111,192,0
5165,belts_kit,25419,298,0
5167,brake_fluid_r,40232,441,1
5169,belts_kit,23505,400,0
5168,timing_chain,56879,558,1
5171,timing_chain,35482,368,0
5171,fuel_filter,14336,233,0
5163,fuel_filter,12774,201,0
5163,fuel_filter,7321,206,0
5168,air_filter,11072,75,0
5164,brake_fluid_p,41458,480,1
5166,brake_pads,22775,346,1
5168,fuel_filter,10861,186,0
5170,brake_fluid_r,29291,405,1
5167,brake_fluid_p,11016,210,0
5167,brake_fluid_p,33351,421,1
5169,spark_plugs,10899,233,0
5170,belts_kit,22634,318,0
5165,wire_set,33629,204,0
5166,brake_fluid_p,10480,146,0
5167,brake_pads,20870,333,1
5164,battery,64946,903,1
5169,spark_plugs,26258,278,1
5168,brake_fluid_r,21551,224,0
5169,fuel_filter,6076,215,0
5162,timing_chain,37907,539,0
5171,fuel_filter,10425,213,0
5169,wire_set,30965,335,0
5171,air_filter,12438,168,1
5166,brake_fluid_r,27240,290,1
5164,timing_chain,52500,567,1
5169,battery,17481,235,0
5169,wire_set,32906,256,0
5169,timing_chain,30274,436,0
5166,belts_kit,17499,383,0
5163,brake_fluid_r,22913,337,0
5168,battery,30480,541,0
5170,battery,18420,235,0
5170,belts_kit,25558,212,0
5162,brake_fluid_r,37501,482,1